poop_vial_id,field_poop_vial_id,weight_observer,sample_extracted_if_two_samples,date_weighed,mass_extracted_.g.,mass_estimated.,hair_in_feces.,extraction_notes_.contaminants_removed.,other_extraction_notes,extra_fecal_sample.,duplicate_sample.,extracted.,date_of_extraction,extraaction_observer
0.4,0.4,,,,0.05,Y,,,all extraction info lost,,,,,
00001,,,,,0.05,Y,,,all extraction info lost,,,,,
3.14,3.14,,,,0.05,Y,,,all extraction info lost,,,,,
13.43,13.43,,,,0.05,Y,,,all extraction info lost,,,,,
16.84,16.84,,,,0.05,Y,,,all extraction info lost,,,,,
68.69,68.69,,,,0.05,Y,,,all extraction info lost,,,,,
A0163,,,,,0.05,Y,,,all extraction info lost,,,,,
A0173,,,,,0.05,Y,,,all extraction info lost,,,,,
A0568,,,,,0.05,Y,,,all extraction info lost,,,,,
A0738,,,,,0.05,Y,,,all extraction info lost,,,,,
A0819,,,,,0.05,Y,,,all extraction info lost,,,,,
A1340,,,,,0.05,Y,,,all extraction info lost,,,,,
A1577,,,,,0.05,Y,,,all extraction info lost,,,,,
A1766,,,,,0.05,Y,,,all extraction info lost,,,,,
B0358,,,,,0.05,Y,,,all extraction info lost,,,,,
B1058,,,,,0.05,Y,,,all extraction info lost,,,,,
B1760,,,,,0.05,Y,,,all extraction info lost,,,,,
B2371,,,,,0.05,Y,,,all extraction info lost,,,,,
B3013,,,,,0.05,Y,,,all extraction info lost,,,,,
B3902,,,,,0.05,Y,,,all extraction info lost,,,,,
B4124,,,,,0.05,Y,,,all extraction info lost,,,,,
B4424,,,,,0.05,Y,,,all extraction info lost,,,,,
C1248,,,,,0.05,Y,,,all extraction info lost,,,,,
C1512,,,,,0.05,Y,,,all extraction info lost,,,,,
I1352,,,,,0.05,Y,,,all extraction info lost,,,,,
I2923,,,,,0.05,Y,,,all extraction info lost,,,,,
I3422,,,,,0.05,Y,,,all extraction info lost,,,,,
I3545,,,,,0.05,Y,,,all extraction info lost,,,,,
I3628,,,,,0.05,Y,,,all extraction info lost,,,,,
I3678,,,,,0.05,Y,,,all extraction info lost,,,,,
I5239,,,,,0.05,Y,,,all extraction info lost,,,,,
K0098,,,,,0.05,Y,,,all extraction info lost,,,,,
K0354,,,,,0.05,Y,,,all extraction info lost,,,,,
K0666,,,,,0.05,Y,,,all extraction info lost,,,,,
K1358,,,,,0.05,Y,,,all extraction info lost,,,,,
K1390,,,,,0.05,Y,,,all extraction info lost,,,,,
K1790,,,,,0.05,Y,,,all extraction info lost,,,,,
K2033,,,,,0.05,Y,,,all extraction info lost,,,,,
K2146,,,,,0.05,Y,,,all extraction info lost,,,,,
K2584,,,,,0.05,Y,,,all extraction info lost,,,,,
K2913,,,,,0.05,Y,,,all extraction info lost,,,,,
K3055,,,,,0.05,Y,,,all extraction info lost,,,,,
K3143,,,,,0.05,Y,,,all extraction info lost,,,,,
K3272,,,,,0.05,Y,,,all extraction info lost,,,,,
K3273,,,,,0.05,Y,,,all extraction info lost,,,,,
K3502,,,,,0.05,Y,,,all extraction info lost,,,,,
K3590,,,,,0.05,Y,,,all extraction info lost,,,,,
K3651,,,,,0.05,Y,,,all extraction info lost,,,,,
K3784,,,,,0.05,Y,,,all extraction info lost,,,,,
K3788,,,,,0.05,Y,,,all extraction info lost,,,,,
K3889,,,,,0.05,Y,,,all extraction info lost,,,,,
K3906,,,,,0.05,Y,,,all extraction info lost,,,,,
K4339,,,,,0.05,Y,,,all extraction info lost,,,,,
K5073,,,,,0.05,Y,,,all extraction info lost,,,,,
K5572,,,,,0.05,Y,,,all extraction info lost,,,,,
K5643,,,,,0.05,Y,,,all extraction info lost,,,,,
K6060,,,,,0.05,Y,,,all extraction info lost,,,,,
K6268,,,,,0.05,Y,,,all extraction info lost,,,,,
L0352,,,,,0.05,Y,,,all extraction info lost,,,,,
L0417,,,,,0.05,Y,,,all extraction info lost,,,,,
L0457,,,,,0.05,Y,,,all extraction info lost,,,,,
L0534,,,,,0.05,Y,,,all extraction info lost,,,,,
L1081,,,,,0.05,Y,,,all extraction info lost,,,,,
L1262,,,,,0.05,Y,,,all extraction info lost,,,,,
L1621,,,,,0.05,Y,,,all extraction info lost,,,,,
L1678,,,,,0.05,Y,,,all extraction info lost,,,,,
L1791,,,,,0.05,Y,,,all extraction info lost,,,,,
L1797,,,,,0.05,Y,,,all extraction info lost,,,,,
L1892,,,,,0.05,Y,,,all extraction info lost,,,,,
L2132,,,,,0.05,Y,,,all extraction info lost,,,,,
L2689,,,,,0.05,Y,,,all extraction info lost,,,,,
L2894,,,,,0.05,Y,,,all extraction info lost,,,,,
