poop_id,extraction_date,extraction_observerID,extraction_volume,weigh_date,weigh_observerID,hair,contaminants,mass_g,extra,extractID
000.40,NA,NA,1000,NA,NA,NA,NA,0.05,NA,1
00001,NA,NA,1000,NA,NA,NA,NA,0.05,NA,2
003.14,NA,NA,1000,NA,NA,NA,NA,0.05,NA,3
013.43,NA,NA,1000,NA,NA,NA,NA,0.05,NA,4
016.84,NA,NA,1000,NA,NA,NA,NA,0.05,NA,5
068.69,NA,NA,1000,NA,NA,NA,NA,0.05,NA,6
A0163,NA,NA,1000,NA,NA,NA,NA,0.05,NA,7
A0173,NA,NA,1000,NA,NA,NA,NA,0.05,NA,8
A0568,NA,NA,1000,NA,NA,NA,NA,0.05,NA,9
A0738,NA,NA,1000,NA,NA,NA,NA,0.05,NA,10
A0819,NA,NA,1000,NA,NA,NA,NA,0.05,NA,11
A1340,NA,NA,1000,NA,NA,NA,NA,0.05,NA,12
A1577,NA,NA,1000,NA,NA,NA,NA,0.05,NA,13
A1766,NA,NA,1000,NA,NA,NA,NA,0.05,NA,14
B0358,NA,NA,1000,NA,NA,NA,NA,0.05,NA,15
B1058,NA,NA,1000,NA,NA,NA,NA,0.05,NA,16
B1760,NA,NA,1000,NA,NA,NA,NA,0.05,NA,17
B2371,NA,NA,1000,NA,NA,NA,NA,0.05,NA,18
B3013,NA,NA,1000,NA,NA,NA,NA,0.05,NA,19
B3902,NA,NA,1000,NA,NA,NA,NA,0.05,NA,20
B4124,NA,NA,1000,NA,NA,NA,NA,0.05,NA,21
B4424,NA,NA,1000,NA,NA,NA,NA,0.05,NA,22
C1248,NA,NA,1000,NA,NA,NA,NA,0.05,NA,23
C1512,NA,NA,1000,NA,NA,NA,NA,0.05,NA,24
I1352,NA,NA,1000,NA,NA,NA,NA,0.05,NA,25
I2923,NA,NA,1000,NA,NA,NA,NA,0.05,NA,26
I3422,NA,NA,1000,NA,NA,NA,NA,0.05,NA,27
I3545,NA,NA,1000,NA,NA,NA,NA,0.05,NA,28
I3628,NA,NA,1000,NA,NA,NA,NA,0.05,NA,29
