observer_id,date,concentration,cv,plate_id,protocol_id,extract_id
BJD,2011-05-31,14.847,NA,C.2011.52,CB325,102
BJD,2011-05-31,14.847,NA,C.2011.52,CB325,102
BJD,2011-05-31,14.847,NA,C.2011.52,CB325,6875
BJD,2011-05-31,14.847,NA,C.2011.52,CB325,6875
BJD,2009-03-31,12.148,NA,37e.LTGrid.2008.6,CB91,103
BJD,2009-03-31,12.148,NA,37e.LTGrid.2008.6,CB91,6921
BJD,2009-04-11,23.442,NA,C.LTGrid.2008.7,CB91,7510
BJD,2011-05-24,17.737,10.1,C.2011.16,CB325,81
BJD,2011-05-24,26.492,7.2,C.2011.16,CB325,82
BJD,2011-05-15,35.775,8.1,C.2011.2,CB3210,7201
BJD,2011-05-31,19.501,10,C.2011.53,CB325,1367
BJD,2011-05-26,14.976,13.9,C.2011.17,CB325,1550
BJD,2011-05-26,72.412,8.6,C.2011.17,CB325,1556
BJD,2011-05-26,12.728,4.1,C.2011.20,CB325,1560
BJD,2011-05-31,18.656,0.4,C.2011.53,CB325,1570
BJD,2011-05-27,35.751,7,C.2011.30,CB325,1574
BJD,2011-05-26,40.322,NA,C.2011.17,CB325,1580
BJD,2011-05-27,9.717,19.1,C.2011.29,CB325,1584
BJD,2011-05-27,35.334,9.2,C.2011.29,CB325,1586
BJD,2011-05-31,9.782,8.2,C.2011.54,CB325,1613
BJD,2011-05-27,91.299,3.7,C.2011.29,CB325,1617
BJD,2011-05-27,19.525,NA,C.2011.29,CB325,1638
BJD,2011-05-31,28.159,1.3,C.2011.54,CB325,1660
BJD,2011-05-26,68.628,17.2,C.2011.17,CB325,1690
BJD,2011-05-27,68.068,12.2,C.2011.29,CB325,1694
BJD,2011-05-31,20.977,3,C.2011.53,CB325,1697
BJD,2011-05-26,14.068,14.9,C.2011.23,CB325,1703
BJD,2011-05-24,15.927,11.1,C.2011.16,CB325,1711
BJD,2011-05-27,29.965,5.1,C.2011.30,CB325,1712
BJD,2011-05-24,74.744,1.3,C.2011.16,CB325,1734
BJD,2011-05-26,36.718,24,C.2011.29,CB325,1738
BJD,2011-05-26,26.361,5.4,C.2011.17,CB325,1748
BJD,2011-05-24,74.279,5.5,C.2011.16,CB325,1749
BJD,2011-05-26,112.574,14,C.2011.29,CB325,1754
BJD,2011-05-24,17.107,18.1,C.2011.16,CB325,1763
BJD,2011-05-24,2.369,10.5,C.2011.16,CB325,1764
BJD,2011-05-23,27.022,29.1,C.2011.17,CB325,1766
BJD,2011-05-23,51.237,75.6,C.2011.17,CB325,1767
BJD,2011-05-24,174.887,NA,C.2011.16,CB325,1799
BJD,2011-05-24,21.468,0.1,C.2011.16,CB325,1801
BJD,2011-05-22,17.512,26.5,C.2011.16,CB325,1805
BJD,2011-05-26,6.296,125.6,C.2011.20,CB325,1836
BJD,2011-05-26,36.872,6,C.2011.29,CB325,1843
BJD,2011-05-22,8.974,29.7,C.2011.7,CB325,1847
BJD,2011-05-31,10.614,NA,C.2011.53,CB325,1864
BJD,2011-05-24,5.589,1,C.2011.16,CB325,1869
BJD,2011-05-24,88.201,11.1,C.2011.16,CB325,1872
BJD,2011-05-26,26.801,10.7,C.2011.17,CB325,1880
BJD,2011-05-26,70.95,11,C.2011.17,CB325,1895
BJD,2011-05-23,53.816,24.3,C.2011.30,CB325,1899
BJD,2011-05-26,15.779,45.7,C.2011.29,CB325,1901
BJD,2011-05-23,19.332,30.4,C.2011.17,CB325,1912
BJD,2011-05-22,10.174,22,C.2011.16,CB325,1932
BJD,2011-05-24,17.239,NA,C.2011.16,CB325,1948
BJD,2011-05-24,16.866,0.7,C.2011.16,CB325,1978
BJD,2011-05-24,19.129,7.8,C.2011.16,CB325,1985
BJD,2011-05-23,16.804,34.7,C.2011.17,CB325,1989
BJD,2011-05-22,13.808,28.5,C.2011.8,CB325,1993
BJD,2011-05-24,21.275,7,C.2011.16,CB325,2029
BJD,2011-05-27,64.478,24.1,C.2011.25,CB325,2156
BJD,2011-05-26,37.418,NA,C.2011.22,CB325,2197
BJD,2011-05-26,13.255,NA,C.2011.17,CB325,2198
BJD,2011-05-26,33.747,NA,C.2011.17,CB325,2280
BJD,2011-05-26,74.03,6.3,C.2011.22,CB325,2321
BJD,2011-05-26,12.873,2.1,C.2011.22,CB325,2513
BJD,2011-05-28,27.876,14.1,C.2011.33,CB325,2556
BJD,2011-05-24,12.576,NA,C.2011.15,CB325,3045
BJD,2011-05-26,47.814,3.1,C.2011.22,CB325,3130
BJD,2011-05-30,35.5,24.6,C.2011.46,CB325,3355
BJD,2011-05-30,8.221,23.2,C.2011.46,CB325,122
BJD,2011-05-30,8.221,23.2,C.2011.46,CB325,122
BJD,2011-05-30,8.221,23.2,C.2011.46,CB325,123
BJD,2011-05-30,8.221,23.2,C.2011.46,CB325,123
BJD,2011-05-30,8.221,23.2,C.2011.46,CB325,124
BJD,2011-05-30,8.221,23.2,C.2011.46,CB325,124
BJD,2011-05-30,8.221,23.2,C.2011.46,CB325,125
BJD,2011-05-30,8.221,23.2,C.2011.46,CB325,125
BJD,2011-05-29,29.022,26.7,C.2011.42,CB325,133
BJD,2011-05-29,29.022,26.7,C.2011.42,CB325,134
BJD,2011-05-29,29.022,26.7,C.2011.42,CB325,135
BJD,2011-05-29,29.022,26.7,C.2011.42,CB325,136
BJD,2011-05-29,393.679,49.8,C.2011.42,CB325,139
BJD,2011-05-29,393.679,49.8,C.2011.42,CB325,140
BJD,2011-05-29,393.679,49.8,C.2011.42,CB325,141
BJD,2011-05-29,393.679,49.8,C.2011.42,CB325,142
BJD,2011-05-29,393.679,49.8,C.2011.42,CB325,143
BJD,2011-05-30,9.864,21.1,C.2011.47,CB325,145
BJD,2011-05-30,9.864,21.1,C.2011.47,CB325,145
BJD,2011-05-30,9.864,21.1,C.2011.47,CB325,146
BJD,2011-05-30,9.864,21.1,C.2011.47,CB325,146
BJD,2011-05-30,9.864,21.1,C.2011.47,CB325,147
BJD,2011-05-30,9.864,21.1,C.2011.47,CB325,147
BJD,2011-05-30,9.864,21.1,C.2011.47,CB325,148
BJD,2011-05-30,9.864,21.1,C.2011.47,CB325,148
BJD,2011-05-30,9.864,21.1,C.2011.47,CB325,149
BJD,2011-05-30,9.864,21.1,C.2011.47,CB325,149
BJD,2011-05-30,37.075,38.3,C.2011.47,CB325,159
BJD,2011-05-30,37.075,38.3,C.2011.47,CB325,160
BJD,2011-05-31,95.837,12.4,C.2011.54,CB325,3919
BJD,2011-05-31,20.205,4.9,C.2011.54,CB325,3941
BJD,2011-05-29,45.77,74.7,C.2011.41,CB325,4016
BJD,2011-05-29,41.933,17.6,C.2011.41,CB325,4115
BJD,2011-05-31,7.363,39.3,C.2011.52,CB325,6871
BJD,2011-05-31,16.02,34.8,C.2011.52,CB325,6960
BJD,2011-05-31,12.408,6.9,C.2011.52,CB325,6967
BJD,2011-05-31,14.485,NA,C.2011.52,CB325,6986
BJD,2011-05-31,17.25,5.8,C.2011.52,CB325,6991
BJD,2011-05-31,7.188,37.2,C.2011.52,CB325,7018
BJD,2011-06-01,36.615,27.6,C.2011.56,CB325,7165
BJD,2011-05-15,5.928,34,C.2011.2,CB3210,83
BJD,2011-06-01,34.286,24.9,C.2011.56,CB325,7471
BJD,2011-05-22,31.311,3.2,C.2011.7,CB325,2
BJD,2009-04-17,53.409,NA,C.LTGrid.2008.14,CB325,1368
BJD,2009-04-01,76.906,NA,C.2007.1,CB91,1369
BJD,2009-04-17,33.422,NA,C.LTGrid.2008.14,CB325,1370
BJD,2009-04-01,64.552,NA,C.2007.1,CB91,1371
BJD,2009-04-17,46.529,NA,C.LTGrid.2008.14,CB325,1372
BJD,2009-04-01,44.35,NA,C.2007.1,CB91,1373
BJD,2009-04-17,58.233,NA,C.LTGrid.2008.14,CB325,1374
BJD,2009-04-01,30.35,NA,C.2007.1,CB91,1375
BJD,2009-04-17,172.216,NA,C.LTGrid.2008.14,CB325,1376
BJD,2009-04-01,34.23,NA,C.2007.1,CB91,1377
BJD,2009-04-17,7.664,NA,C.LTGrid.2008.14,CB325,1378
BJD,2009-04-01,95.122,NA,C.2007.1,CB91,1379
BJD,2009-04-17,22.776,NA,C.LTGrid.2008.14,CB325,1380
BJD,2009-04-01,64.461,NA,C.2007.1,CB91,1381
BJD,2009-04-01,27.773,NA,C.2007.1,CB91,1382
BJD,2009-04-01,12.68,NA,C.2007.1,CB91,1383
BJD,2009-04-01,41.256,NA,C.2007.1,CB91,1384
BJD,2009-04-01,9.428,NA,C.2007.1,CB91,1385
BJD,2009-04-17,38.809,NA,C.LTGrid.2008.14,CB325,1386
BJD,2009-04-01,101.91,NA,C.2007.1,CB91,1387
BJD,2009-04-01,15.719,NA,C.2007.1,CB91,1388
BJD,2009-04-01,35.285,NA,C.2007.1,CB91,1389
BJD,2009-04-17,72.585,NA,C.LTGrid.2008.14,CB325,1390
BJD,2009-04-01,154.39,NA,C.2007.1,CB91,1391
BJD,2009-04-17,70.933,NA,C.LTGrid.2008.14,CB325,1392
BJD,2009-04-01,32.965,NA,C.2007.1,CB91,1393
BJD,2009-04-17,93.57,NA,C.LTGrid.2008.14,CB325,1394
BJD,2009-04-01,67.372,NA,C.2007.1,CB91,1395
BJD,2009-04-17,62.063,NA,C.LTGrid.2008.14,CB325,1396
BJD,2009-04-01,36.998,NA,C.2007.1,CB91,1397
BJD,2009-04-17,59.959,NA,C.LTGrid.2008.14,CB325,1398
BJD,2009-04-01,22.986,NA,C.2007.1,CB91,1399
BJD,2009-04-17,117.341,NA,C.LTGrid.2008.14,CB325,1400
BJD,2009-04-01,28.568,NA,C.2007.1,CB91,1401
BJD,2009-04-17,93.503,NA,C.LTGrid.2008.14,CB325,1402
BJD,2009-04-01,12.625,NA,C.2007.1,CB91,1403
BJD,2011-05-15,51.184,7.6,C.2011.2,CB3210,1412
BJD,2011-05-15,34.326,3.7,C.2011.2,CB3210,1413
BJD,2011-05-15,67.893,1.1,C.2011.2,CB3210,1414
BJD,2011-05-15,20.351,1.7,C.2011.2,CB3210,1425
BJD,2009-04-17,18.302,NA,C.2007.4,CB325,1431
BJD,2009-04-17,7.104,NA,C.2007.4,CB325,1432
BJD,2009-04-17,7.625,NA,C.2007.4,CB325,1433
BJD,2011-05-15,70.331,10.3,C.2011.2,CB3210,1435
BJD,2011-05-15,14.003,5.1,C.2011.2,CB3210,1439
BJD,2011-05-15,27.491,10.8,C.2011.2,CB3210,1441
BJD,2009-04-17,71.659,NA,C.2007.4,CB325,1444
BJD,2011-05-15,24.722,16.7,C.2011.2,CB3210,1445
BJD,2011-06-01,14.281,1.5,C.2011.56,CB325,1450
BJD,2011-06-01,15.057,2.4,C.2011.56,CB325,1451
BJD,2011-06-01,10.219,NA,C.2011.56,CB325,1452
BJD,2011-05-15,34.296,4.1,C.2011.2,CB3210,1453
