id,poop_id,extraction_date,extraction_observer_id,extraction_volume,weigh_date,weigh_observer_id,hair,contaminants_removed,mass_g,extra,box_id
1,000.40,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
2,00001,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
3,003.14,NA,NA,1000,NA,NA,NA,NA,0.05,NA,26
4,013.43,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
5,016.84,NA,NA,1000,NA,NA,NA,NA,0.05,NA,26
6,068.69,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
7,A0163,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
8,A0173,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
9,A0568,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
10,A0738,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
11,A0819,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
12,A1340,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
13,A1577,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
14,A1766,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
15,B0358,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
16,B1058,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
17,B1760,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
18,B2371,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
19,B3013,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
20,B3902,NA,NA,1000,NA,NA,NA,NA,0.05,NA,19
21,B4124,NA,NA,1000,NA,NA,NA,NA,0.05,NA,20
22,B4424,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
23,C1248,NA,NA,1000,NA,NA,NA,NA,0.05,NA,78
24,C1512,NA,NA,1000,NA,NA,NA,NA,0.05,NA,79
25,I1352,NA,NA,1000,NA,NA,NA,NA,0.05,NA,77
26,I2923,NA,NA,1000,NA,NA,NA,NA,0.05,NA,77
27,I3422,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
28,I3545,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
29,I3628,NA,NA,1000,NA,NA,NA,NA,0.05,NA,77
30,I3678,NA,NA,1000,NA,NA,NA,NA,0.05,NA,24
31,I5239,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
32,K0098,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
33,K0354,NA,NA,1000,NA,NA,NA,NA,0.05,NA,70
34,K0666,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
35,K1358,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
36,K1390,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
37,K1790,NA,NA,1000,NA,NA,NA,NA,0.05,NA,44
38,K2033,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
39,K2146,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
40,K2584,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
41,K2913,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
42,K3055,NA,NA,1000,NA,NA,NA,NA,0.05,NA,44
43,K3143,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
44,K3272,NA,NA,1000,NA,NA,NA,NA,0.05,NA,15
45,K3273,NA,NA,1000,NA,NA,NA,NA,0.05,NA,26
46,K3502,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
47,K3590,NA,NA,1000,NA,NA,NA,NA,0.05,NA,44
48,K3651,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
49,K3784,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
50,K3788,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
51,K3889,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
52,K3906,NA,NA,1000,NA,NA,NA,NA,0.05,NA,44
53,K4339,NA,NA,1000,NA,NA,NA,NA,0.05,NA,6
54,K5073,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
55,K5572,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
56,K5643,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
57,K6060,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
58,K6268,NA,NA,1000,NA,NA,NA,NA,0.05,NA,70
59,L0352,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
60,L0417,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
61,L0457,NA,NA,1000,NA,NA,NA,NA,0.05,NA,26
62,L0534,NA,NA,1000,NA,NA,NA,NA,0.05,NA,25
63,L1081,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
64,L1262,NA,NA,1000,NA,NA,NA,NA,0.05,NA,26
65,L1621,NA,NA,1000,NA,NA,NA,NA,0.05,NA,22
66,L1678,NA,NA,1000,NA,NA,NA,NA,0.05,NA,21
67,L1791,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
68,L1797,NA,NA,1000,NA,NA,NA,NA,0.05,NA,25
69,L1892,NA,NA,1000,NA,NA,NA,NA,0.05,NA,22
70,L2132,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
71,L2689,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
72,L2894,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
73,L3671,NA,NA,1000,NA,NA,NA,NA,0.05,NA,21
74,P0058,NA,NA,1000,NA,NA,NA,NA,0.05,NA,14
75,P0448,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
76,P1133,NA,NA,1000,NA,NA,NA,NA,0.05,NA,15
77,P1251,NA,NA,1000,NA,NA,NA,NA,0.05,NA,15
78,P1699,NA,NA,1000,NA,NA,NA,NA,0.05,NA,21
79,P2066,NA,NA,1000,NA,NA,NA,NA,0.05,NA,14
80,P2102,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
81,P2324,NA,NA,1000,NA,NA,NA,NA,0.05,NA,14
82,P2337,NA,NA,1000,NA,NA,NA,NA,0.05,NA,14
83,P2378,NA,NA,1000,NA,NA,NA,NA,0.05,NA,15
84,P3235,NA,NA,1000,NA,NA,NA,NA,0.05,NA,14
85,K2543,NA,NA,1000,2016-12-07,NA,FALSE,NA,0.051,NA,26
