poop_id,trapping_id,squirrel_id,year,poop_time,comments
F0208,78591,10763,2008,NA,"O!/B! removed, F0208 ripped out in bag"
P0090,78809,8277,2008,NA,test 21.3 10.3 21.1 9.9;P0090 1441;ht
P0019,78810,10176,2008,NA,ht 7;test 22.4 9.4 20.5 10.4;p0019 153
P0116,78813,13682,2008,NA,ht 0;test 23.7 10.6 24.3 11.4;P0116 17
P0027,78815,8249,2008,NA,P0027
P0026,78816,8252,2008,NA,P0026
P0114,78819,10307,2008,NA,P0114
P0077,78820,10681,2008,NA,P0077
P0135,78824,7886,2008,NA,ht 1;test 22.1 10.1 21.5 10.2;P0135 13
P0074,78825,8574,2008,NA,ht 1; test 22.4 10.2 21.2 10.8;P0074 1
P0031,78828,10346,2008,NA,P0031 16:45
P0047,78833,8593,2008,NA,P0047
P0043,78845,7927,2008,NA,"P0043, P0084 12:25"
P0084,78845,7927,2008,NA,"P0043, P0084 12:25"
P0046,78846,8705,2008,NA,P0046 12:04
P0104,78847,7880,2008,NA,Feces P0104
P0133,78849,10112,2008,NA,Feces P0133
P0022,78850,10119,2008,NA,Feces P0022
P0024,78851,10168,2008,NA,Feces P0024
P0110,78852,10353,2008,NA,Feces P0110
P0062,78853,10399,2008,NA,Feces P0062
P0053,78857,13660,2008,NA,Feces P0053; TAGR removed-infected
P0030,78859,8572,2008,NA,HT 8; P0030 P0076
P0076,78859,8572,2008,NA,HT 8; P0030 P0076
P0061,78860,8729,2008,NA,HT 13; P0061;test 28.1 11.4 27.7 11.5
P0069,78863,10137,2008,NA,HT 1; P0069; P0129
P0129,78863,10137,2008,NA,HT 1; P0069; P0129
P0147,78872,8529,2008,NA,P0147 12:30
P0139,78873,8608,2008,NA,P0139 13:08
P0108,78874,8643,2008,NA,P0108 13:28
P0056,78875,8686,2008,NA,P0056 13:00
P0073,78876,10187,2008,NA,P0073 12:53
P0065,78877,10277,2008,NA,"P0065, P0120 12:00; tagrt looks wrong"
P0120,78877,10277,2008,NA,"P0065, P0120 12:00; tagrt looks wrong"
P0094,78879,10334,2008,NA,P0094 14:46
P0033,78880,10347,2008,NA,P0033 13:50
P0010,78881,10382,2008,NA,P0010 12:00
P0041,78882,10418,2008,NA,P0041 13:42
P0082,78883,7876,2008,NA,Feces P0082
P0075,78886,7921,2008,NA,Feces P0075
P0039,78887,8339,2008,NA,Feces P0039
P0099,78890,8735,2008,NA,Feces P0099 12:24
P0130,78894,10324,2008,NA,Feces P0130
P0075,78895,10399,2008,NA,Feces P0075
P0009,78898,10645,2008,NA,Feces P0009 12:31
P0023,78899,10745,2008,NA,Feces P0023 12:04
P0131,78901,13654,2008,NA,Feces P0131; NOT OWNER
P0058,78902,7886,2008,NA,ht 0; test 20.3 9.4 21.4 10.0;P0058;FM
P0038,78904,10136,2008,NA,test 22.8 11.0 22.0 11.2;P0038 1525
P0015,78905,10138,2008,NA,ht 4;test 22.8 11.0 23.8 10.8;P0015 15
P0021,78906,10212,2008,NA,ht 17;test 23.8 10.8 23.6 10.4;P0021 1
P0028,78909,10206,2008,NA,P0028 12:20
P0059,78910,10278,2008,NA,P0059 11:10
P0029,78911,10412,2008,NA,P0029 12:27
P0063,78914,13672,2008,NA,P0063 11:52
P0095,78915,10275,2008,NA,ht 14;test 21.7 10.0 20.9 10.7;P0095 1
P0072,78916,8445,2008,NA,P0072 12:30
P0051,78917,8521,2008,NA,P0051 11:16
P0070,78920,8647,2008,NA,P0070 11:15
P0112,78922,8685,2008,NA,P0112 11:30
P0048,78924,10070,2008,NA,P0048 12:00
P0016,78929,10586,2008,NA,P0016 11:58
P0040,78930,10659,2008,NA,P0040 11:48
P0096,78932,10699,2008,NA,P0096 11:10
P0126,78933,11510,2008,NA,P0126 12:57
