id,poop_id,extraction_date,extraction_observer_id,extraction_volume,weigh_date,weigh_observer_id,hair,contaminants_removed,mass_g,extra,box_id
1,000.40,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
2,00001,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
14,A1766,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
31,I5239,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
32,K0098,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
34,K0666,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
35,K1358,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
38,K2033,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
46,K3502,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
53,K4339,NA,NA,1000,NA,NA,NA,NA,0.05,NA,6
54,K5073,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
55,K5572,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
57,K6060,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
65,L1621,NA,NA,1000,NA,NA,NA,NA,0.05,NA,22
66,L1678,NA,NA,1000,NA,NA,NA,NA,0.05,NA,21
69,L1892,NA,NA,1000,NA,NA,NA,NA,0.05,NA,22
70,L2132,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
75,P0448,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
86,B2918,NA,NA,1000,2015-11-22,NA,FALSE,NA,0.054,NA,77
161,C0420,NA,NA,1000,NA,NA,NA,NA,0.052,NA,NA
162,C0420,NA,NA,1000,NA,NA,NA,NA,0.054,NA,NA
204,K660,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
356,000.03,2018-06-01,Mark Castaneda,1000,2018-04-20,Adam Scott,TRUE,NA,0.052,TRUE,16
359,000.06,2018-06-01,Mark Castaneda,1000,2018-06-07,Mark Castaneda,FALSE,NA,0.053,TRUE,NA
368,000.17,2018-06-01,Mark Castaneda,1000,2018-05-31,Mark Castaneda,FALSE,needles removed,0.048,TRUE,NA
369,000.18,2018-06-01,Mark Castaneda,1000,2018-04-23,Adam Scott,TRUE,NA,0.05,TRUE,NA
377,000.29,NA,NA,1000,2019-04-04,Erica Walker,FALSE,NA,0.052,NA,NA
379,000.31,2018-06-01,Mark Castaneda,1000,2018-04-16,Mark Castaneda,FALSE,NA,0.05,TRUE,24
381,000.33,2018-06-01,Mark Castaneda,1000,2018-04-16,Mark Castaneda,FALSE,NA,0.055,TRUE,25
382,000.34,2018-06-01,Mark Castaneda,1000,2018-04-20,Adam Scott,FALSE,NA,0.044,FALSE,24
383,000.36,2018-06-01,Mark Castaneda,1000,2018-04-16,Mark Castaneda,TRUE,NA,0.048,TRUE,NA
389,000.45,NA,NA,1000,2019-04-19,Erica Walker,TRUE,NA,0.05,NA,NA
391,000.48,2018-06-01,Mark Castaneda,1000,2018-06-12,Mark Castaneda,FALSE,NA,0.054,TRUE,NA
406,000.67,2018-06-01,Mark Castaneda,1000,2018-04-13,Jinghan Xu,FALSE,NA,0.052,TRUE,21
407,000.68,2018-07-01,Mark Castaneda,1000,2018-06-18,Mark Castaneda,FALSE,NA,0.052,TRUE,NA
419,000.86,2018-06-01,Mark Castaneda,1000,2018-04-20,Adam Scott,FALSE,NA,0.04,FALSE,24
420,000.87,2018-06-01,Mark Castaneda,1000,2018-06-07,Mark Castaneda,TRUE,NA,0.053,TRUE,NA
432,001.02,2018-06-01,Mark Castaneda,1000,2018-04-20,Adam Scott,FALSE,NA,0.05,TRUE,16
444,001.14,2018-06-01,Mark Castaneda,1000,2018-06-12,Mark Castaneda,FALSE,needles removed,0.05,TRUE,NA
446,001.16,2018-06-01,Mark Castaneda,1000,2018-04-16,Mark Castaneda,FALSE,NA,0.05,TRUE,25
455,001.28,2018-06-01,Mark Castaneda,1000,2018-06-08,Mark Castaneda,FALSE,NA,0.053,TRUE,NA
492,001.74,2018-07-01,Mark Castaneda,1000,2018-06-15,Mark Castaneda,FALSE,NA,0.048,TRUE,NA
494,001.76,2018-06-01,Mark Castaneda,1000,2018-04-20,Adam Scott,FALSE,NA,0.05,TRUE,26
497,001.79,2018-07-01,Mark Castaneda,1000,2018-06-18,Mark Castaneda,FALSE,"bract, grass, and leaf removed",0.056,TRUE,NA
498,001.80,2018-07-01,Mark Castaneda,1000,2018-06-15,Mark Castaneda,FALSE,NA,0.049,TRUE,NA
512,2,2018-06-01,Mark Castaneda,1000,2018-06-01,Mark Castaneda,FALSE,NA,0.055,TRUE,NA
513,2,2018-06-01,Mark Castaneda,1000,2018-06-07,Mark Castaneda,FALSE,NA,0.049,TRUE,NA
517,002.04,2018-06-01,Mark Castaneda,1000,2018-06-07,Mark Castaneda,FALSE,NA,0.05,TRUE,NA
530,002.20,2018-06-01,Mark Castaneda,1000,2018-04-20,Adam Scott,FALSE,NA,0.046,FALSE,NA
535,002.25,2018-06-01,Mark Castaneda,1000,2018-04-20,Adam Scott,FALSE,NA,0.049,TRUE,NA
539,002.29,2018-06-01,Mark Castaneda,1000,2018-04-20,Adam Scott,FALSE,seedling removed,0.05,TRUE,16
544,002.35,2018-06-01,Mark Castaneda,1000,2018-04-20,Adam Scott,FALSE,NA,0.05,TRUE,24
552,002.44,2018-06-01,Mark Castaneda,1000,2018-06-07,Mark Castaneda,FALSE,NA,0.051,TRUE,NA
609,004.52,2018-07-01,Mark Castaneda,1000,2018-06-18,Mark Castaneda,FALSE,NA,0.049,TRUE,NA
616,004.62,2018-06-01,Mark Castaneda,1000,2018-06-01,Mark Castaneda,FALSE,NA,0.049,TRUE,16
617,004.63,NA,NA,1000,2019-01-15,Odessa Fung,TRUE,NA,0.05,NA,NA
629,004.84,2018-07-01,Mark Castaneda,1000,2018-06-18,Mark Castaneda,FALSE,grass removed,0.051,TRUE,NA
645,005.51,2018-06-01,Mark Castaneda,1000,2018-04-20,Adam Scott,FALSE,NA,0.036,FALSE,26
651,005.69,2018-07-01,Mark Castaneda,1000,2018-06-18,Mark Castaneda,FALSE,NA,0.048,TRUE,NA
656,005.84,2018-07-01,Mark Castaneda,1000,2018-06-19,Mark Castaneda,FALSE,NA,0.052,TRUE,NA
673,006.51,NA,NA,1000,2019-03-26,Erica Walker,FALSE,NA,0.049,NA,NA
