poop_id,trapping_id,squirrel_id,year,poop_time,comments
P0043,78845,7927,2008,NA,"P0043, P0084 12:25"
P0110,78852,10353,2008,NA,Feces P0110
P0147,78872,8529,2008,NA,P0147 12:30
P0108,78874,8643,2008,NA,P0108 13:28
P0073,78876,10187,2008,NA,P0073 12:53
P0075,78886,7921,2008,NA,Feces P0075
P0039,78887,8339,2008,NA,Feces P0039
P0075,78895,10399,2008,NA,Feces P0075
P0040,78930,10659,2008,NA,P0040 11:48
P0040,78940,7903,2008,NA,Feces P0040 12:30;
P0073,78943,8726,2008,NA,Feces P0073 12:15;
P0108,78950,11063,2008,NA,Feces P0108 12:10
P0043,78951,13653,2008,NA,P0043 12:40
P0240,78965,7921,2008,NA,Feces P0240 2:10
P0255,78966,8082,2008,NA,Feces P0255 1:30;
P0217,78969,10645,2008,NA,Feces P0217 2:20
P0218,78970,10679,2008,NA,Feces P0218 2:40
P0170,79013,10352,2008,NA,Feces P0170 12:00
P0037,79033,10600,2008,NA,Feces P0037 11:55
P0183,79053,7902,2008,NA,Feces P0183 11:20
P0256,79056,10253,2008,NA,Feces P0256 12:50
P0110,79065,8298,2008,NA,Feces P0110 12:40
P0255,79088,8312,2008,NA,P0205 P0255
P0217,79094,10155,2008,NA,P0217; Escaped
P0180,79132,10213,2008,NA,P0180
P0183,79134,10344,2008,NA,Feces P0183 12:50
P0147,79180,8008,2008,NA,feces P0147 11:32
P0218,79194,10353,2008,NA,Feces P0218 FROZEN
P0037,79196,10365,2008,NA,Feces P0037
P0180,79226,8404,2008,NA,feces P0180 10:35
P0240,79232,10112,2008,NA,Feces P0134; Feces P0240 FROZEN 11:45
P0255,79242,8701,2008,NA,P0255 1:20
O0801,79333,10718,2008,NA,"Took DNA: JO080108, JO080109"
P0256,79343,10182,2008,NA,HT 21; P0256 P0265 15:04
P0032,79345,10410,2008,NA,HT 6; TEST 18.4 7.7 19.8 7.6; P0032 P0
P0032,79347,10642,2008,NA,HT 0; TEST 21.0 9.1 21.3 9.0; P0032 P0
P0729,79361,10356,2008,NA,P0729 12:12
O0801,79388,8614,2008,NA,"Took DNA: JO080110, JO080111"
P0742,79709,10264,2008,NA,P0742 12:26
P0170,79795,8577,2008,NA,P0170 2:30
P0944,79862,10280,2008,NA,P0944 12:10
P1146,79928,13679,2008,NA,P1146 EtOH
P0742,80196,8701,2008,NA,P0742 12:25
P1024,80200,13678,2008,NA,"P1024, P1125 2:30"
P1125,80200,13678,2008,NA,"P1024, P1125 2:30"
P0729,80383,10280,2008,NA,P0729 12:00
P1024,80458,8596,2008,NA,P1024 12:45
P0906,80634,8603,2008,NA,P0906 12:00
P1703,80669,10687,2008,NA,P1703 1:05
P1125,80726,8708,2008,NA,P1125 12:00
P1354,80788,8095,2008,NA,P1354 12:10
P1218,80791,8701,2008,NA,P1218 12:30
P0944,80943,10134,2008,NA,P0944 11:00
P1443,81031,8529,2008,NA,P1443 10:08
P1474,81179,10695,2008,NA,P1474 12:00
P1474,81301,10137,2008,NA,P1474
P1470,81382,8288,2008,NA,P1470 10:20
P1146,81570,10695,2008,NA,P1146 11:45
P1470,81651,8633,2008,NA,"P1498,P1470 (1005 h)"
P1665,81794,13653,2008,NA,P1665 10:09 AM
P1354,82001,13684,2008,NA,"P1354 11:15, P1"
P1665,82004,8576,2008,NA,P1665 ARROUND 11:20
P1443,82056,8476,2008,NA,P1443 12:00
P1703,82086,10725,2008,NA,P1703 9:23 AM
P0039,82156,13667,2008,NA,P0039 9:30
P1779,82469,10184,2008,NA,P17798 9:21 AM;  RELEASED
P1779,82575,10285,2008,NA,HT 0; OFT 18; P1779
P1846,82687,10318,2008,NA,HT 18; palpated P0; OFT 9; P1846
P1415,82789,10262,2008,NA,P1415 11:45
P2944,82894,10308,2008,NA,P2944
P1218,82902,8648,2008,NA,P1218 10:00
P3095,82929,8295,2008,NA,P3095 10:09
P2892,83306,10253,2008,NA,One nip flaky;P2892;11:57am
