poop_id,lab,observer_id,date,dilution,volume_used,concentration,cv,plate_id,is_rerun,hormone,protocol_id
P0039,Boonstra,BJD,2011-05-31,32.3333333333333,5.6,14.847,NA,C.2011.52,FALSE,Cortisol,CB325
P0256,Boonstra,BJD,2009-03-31,9,1.6,12.148,NA,37e.LTGrid.2008.6,FALSE,Cortisol,CB91
P3139,Boonstra,BJD,2009-04-11,9,1.6,23.442,NA,C.LTGrid.2008.7,FALSE,Cortisol,CB91
P2324,Boonstra,BJD,2011-05-24,32.3333333333333,5.6,17.737,10.1,C.2011.16,FALSE,Cortisol,CB325
P2337,Boonstra,BJD,2011-05-24,32.3333333333333,5.6,26.492,7.2,C.2011.16,FALSE,Cortisol,CB325
P1467,Boonstra,BJD,2011-05-15,32.3333333333333,10,35.775,8.1,C.2011.2,FALSE,Cortisol,CB3210
12010,Boonstra,BJD,2011-05-31,32.3333333333333,5.6,19.501,10,C.2011.53,FALSE,Cortisol,CB325
A0052,Boonstra,BJD,2011-05-26,32.3333333333333,5.6,14.976,13.9,C.2011.17,FALSE,Cortisol,CB325
A0067,Boonstra,BJD,2011-05-26,32.3333333333333,5.6,72.412,8.6,C.2011.17,FALSE,Cortisol,CB325
A0083,Boonstra,BJD,2011-05-26,32.3333333333333,5.6,12.728,4.1,C.2011.20,FALSE,Cortisol,CB325
A0111,Boonstra,BJD,2011-05-31,32.3333333333333,5.6,18.656,0.4,C.2011.53,FALSE,Cortisol,CB325
A0120,Boonstra,BJD,2011-05-27,32.3333333333333,5.6,35.751,7,C.2011.30,FALSE,Cortisol,CB325
A0131,Boonstra,BJD,2011-05-26,32.3333333333333,5.6,40.322,NA,C.2011.17,FALSE,Cortisol,CB325
A0142,Boonstra,BJD,2011-05-27,32.3333333333333,5.6,9.717,19.1,C.2011.29,FALSE,Cortisol,CB325
A0145,Boonstra,BJD,2011-05-27,32.3333333333333,5.6,35.334,9.2,C.2011.29,FALSE,Cortisol,CB325
A0252,Boonstra,BJD,2011-05-31,32.3333333333333,5.6,9.782,8.2,C.2011.54,FALSE,Cortisol,CB325
A0258,Boonstra,BJD,2011-05-27,32.3333333333333,5.6,91.299,3.7,C.2011.29,FALSE,Cortisol,CB325
A0324,Boonstra,BJD,2011-05-27,32.3333333333333,5.6,19.525,NA,C.2011.29,FALSE,Cortisol,CB325
A0393,Boonstra,BJD,2011-05-31,32.3333333333333,5.6,28.159,1.3,C.2011.54,FALSE,Cortisol,CB325
A0464,Boonstra,BJD,2011-05-26,32.3333333333333,5.6,68.628,17.2,C.2011.17,FALSE,Cortisol,CB325
A0497,Boonstra,BJD,2011-05-27,32.3333333333333,5.6,68.068,12.2,C.2011.29,FALSE,Cortisol,CB325
A0508,Boonstra,BJD,2011-05-31,32.3333333333333,5.6,20.977,3,C.2011.53,FALSE,Cortisol,CB325
A0521,Boonstra,BJD,2011-05-26,32.3333333333333,5.6,14.068,14.9,C.2011.23,FALSE,Cortisol,CB325
A0542,Boonstra,BJD,2011-05-24,32.3333333333333,5.6,15.927,11.1,C.2011.16,FALSE,Cortisol,CB325
A0545,Boonstra,BJD,2011-05-27,32.3333333333333,5.6,29.965,5.1,C.2011.30,FALSE,Cortisol,CB325
A0589,Boonstra,BJD,2011-05-24,32.3333333333333,5.6,74.744,1.3,C.2011.16,FALSE,Cortisol,CB325
A0596,Boonstra,BJD,2011-05-26,32.3333333333333,5.6,36.718,24,C.2011.29,FALSE,Cortisol,CB325
A0617,Boonstra,BJD,2011-05-26,32.3333333333333,5.6,26.361,5.4,C.2011.17,FALSE,Cortisol,CB325
A0619,Boonstra,BJD,2011-05-24,32.3333333333333,5.6,74.279,5.5,C.2011.16,FALSE,Cortisol,CB325
A0635,Boonstra,BJD,2011-05-26,32.3333333333333,5.6,112.574,14,C.2011.29,FALSE,Cortisol,CB325
A0661,Boonstra,BJD,2011-05-24,32.3333333333333,5.6,17.107,18.1,C.2011.16,FALSE,Cortisol,CB325
A0662,Boonstra,BJD,2011-05-24,32.3333333333333,5.6,2.369,10.5,C.2011.16,FALSE,Cortisol,CB325
A0666,Boonstra,BJD,2011-05-23,32.3333333333333,5.6,27.022,29.1,C.2011.17,FALSE,Cortisol,CB325
A0670,Boonstra,BJD,2011-05-23,32.3333333333333,5.6,51.237,75.6,C.2011.17,FALSE,Cortisol,CB325
A0725,Boonstra,BJD,2011-05-24,32.3333333333333,5.6,174.887,NA,C.2011.16,FALSE,Cortisol,CB325
A0728,Boonstra,BJD,2011-05-24,32.3333333333333,5.6,21.468,0.1,C.2011.16,FALSE,Cortisol,CB325
A0741,Boonstra,BJD,2011-05-22,32.3333333333333,5.6,17.512,26.5,C.2011.16,FALSE,Cortisol,CB325
A0811,Boonstra,BJD,2011-05-26,32.3333333333333,5.6,6.296,125.6,C.2011.20,FALSE,Cortisol,CB325
A0831,Boonstra,BJD,2011-05-26,32.3333333333333,5.6,36.872,6,C.2011.29,FALSE,Cortisol,CB325
A0840,Boonstra,BJD,2011-05-22,32.3333333333333,5.6,8.974,29.7,C.2011.7,FALSE,Cortisol,CB325
A0871,Boonstra,BJD,2011-05-31,32.3333333333333,5.6,10.614,NA,C.2011.53,FALSE,Cortisol,CB325
A0881,Boonstra,BJD,2011-05-24,32.3333333333333,5.6,5.589,1,C.2011.16,FALSE,Cortisol,CB325
A0888,Boonstra,BJD,2011-05-24,32.3333333333333,5.6,88.201,11.1,C.2011.16,FALSE,Cortisol,CB325
A0902,Boonstra,BJD,2011-05-26,32.3333333333333,5.6,26.801,10.7,C.2011.17,FALSE,Cortisol,CB325
A0926,Boonstra,BJD,2011-05-26,32.3333333333333,5.6,70.95,11,C.2011.17,FALSE,Cortisol,CB325
A0932,Boonstra,BJD,2011-05-23,32.3333333333333,5.6,53.816,24.3,C.2011.30,FALSE,Cortisol,CB325
A0935,Boonstra,BJD,2011-05-26,32.3333333333333,5.6,15.779,45.7,C.2011.29,FALSE,Cortisol,CB325
A0954,Boonstra,BJD,2011-05-23,32.3333333333333,5.6,19.332,30.4,C.2011.17,FALSE,Cortisol,CB325
A1003,Boonstra,BJD,2011-05-22,32.3333333333333,5.6,10.174,22,C.2011.16,FALSE,Cortisol,CB325
A1055,Boonstra,BJD,2011-05-24,32.3333333333333,5.6,17.239,NA,C.2011.16,FALSE,Cortisol,CB325
A1122,Boonstra,BJD,2011-05-24,32.3333333333333,5.6,16.866,0.7,C.2011.16,FALSE,Cortisol,CB325
A1145,Boonstra,BJD,2011-05-24,32.3333333333333,5.6,19.129,7.8,C.2011.16,FALSE,Cortisol,CB325
A1154,Boonstra,BJD,2011-05-23,32.3333333333333,5.6,16.804,34.7,C.2011.17,FALSE,Cortisol,CB325
A1162,Boonstra,BJD,2011-05-22,32.3333333333333,5.6,13.808,28.5,C.2011.8,FALSE,Cortisol,CB325
A1287,Boonstra,BJD,2011-05-24,32.3333333333333,5.6,21.275,7,C.2011.16,FALSE,Cortisol,CB325
B0158,Boonstra,BJD,2011-05-27,32.3333333333333,5.6,64.478,24.1,C.2011.25,FALSE,Cortisol,CB325
B0312,Boonstra,BJD,2011-05-26,32.3333333333333,5.6,37.418,NA,C.2011.22,FALSE,Cortisol,CB325
B0318,Boonstra,BJD,2011-05-26,32.3333333333333,5.6,13.255,NA,C.2011.17,FALSE,Cortisol,CB325
B0562,Boonstra,BJD,2011-05-26,32.3333333333333,5.6,33.747,NA,C.2011.17,FALSE,Cortisol,CB325
B0671,Boonstra,BJD,2011-05-26,32.3333333333333,5.6,74.03,6.3,C.2011.22,FALSE,Cortisol,CB325
B1140,Boonstra,BJD,2011-05-26,32.3333333333333,5.6,12.873,2.1,C.2011.22,FALSE,Cortisol,CB325
B1219,Boonstra,BJD,2011-05-28,32.3333333333333,5.6,27.876,14.1,C.2011.33,FALSE,Cortisol,CB325
B2225,Boonstra,BJD,2011-05-24,32.3333333333333,5.6,12.576,NA,C.2011.15,FALSE,Cortisol,CB325
B2575,Boonstra,BJD,2011-05-26,32.3333333333333,5.6,47.814,3.1,C.2011.22,FALSE,Cortisol,CB325
B3265,Boonstra,BJD,2011-05-30,32.3333333333333,5.6,35.5,24.6,C.2011.46,FALSE,Cortisol,CB325
B3937,Boonstra,BJD,2011-05-30,32.3333333333333,5.6,8.221,23.2,C.2011.46,FALSE,Cortisol,CB325
B4000,Boonstra,BJD,2011-05-29,32.3333333333333,5.6,29.022,26.7,C.2011.42,FALSE,Cortisol,CB325
B4016,Boonstra,BJD,2011-05-29,32.3333333333333,5.6,393.679,49.8,C.2011.42,FALSE,Cortisol,CB325
B4043,Boonstra,BJD,2011-05-30,32.3333333333333,5.6,9.864,21.1,C.2011.47,FALSE,Cortisol,CB325
B4501,Boonstra,BJD,2011-05-30,32.3333333333333,5.6,37.075,38.3,C.2011.47,FALSE,Cortisol,CB325
C0403,Boonstra,BJD,2011-05-31,32.3333333333333,5.6,95.837,12.4,C.2011.54,FALSE,Cortisol,CB325
C0453,Boonstra,BJD,2011-05-31,32.3333333333333,5.6,20.205,4.9,C.2011.54,FALSE,Cortisol,CB325
C0684,Boonstra,BJD,2011-05-29,32.3333333333333,5.6,45.77,74.7,C.2011.41,FALSE,Cortisol,CB325
C1347,Boonstra,BJD,2011-05-29,32.3333333333333,5.6,41.933,17.6,C.2011.41,FALSE,Cortisol,CB325
P0034,Boonstra,BJD,2011-05-31,32.3333333333333,5.6,7.363,39.3,C.2011.52,FALSE,Cortisol,CB325
