plate_id,observer_id,date,concentration,cv
C.2011.52,BJD,2011-05-31,14.847,NA
37e.LTGrid.2008.6,BJD,2009-03-31,12.148,NA
C.LTGrid.2008.7,BJD,2009-04-11,23.442,NA
C.2011.16,BJD,2011-05-24,17.737,10.1
C.2011.16,BJD,2011-05-24,26.492,7.2
C.2011.2,BJD,2011-05-15,35.775,8.1
C.2011.53,BJD,2011-05-31,19.501,10
C.2011.17,BJD,2011-05-26,14.976,13.9
C.2011.17,BJD,2011-05-26,72.412,8.6
C.2011.20,BJD,2011-05-26,12.728,4.1
C.2011.53,BJD,2011-05-31,18.656,0.4
C.2011.30,BJD,2011-05-27,35.751,7
C.2011.17,BJD,2011-05-26,40.322,NA
C.2011.29,BJD,2011-05-27,9.717,19.1
C.2011.29,BJD,2011-05-27,35.334,9.2
C.2011.54,BJD,2011-05-31,9.782,8.2
C.2011.29,BJD,2011-05-27,91.299,3.7
C.2011.29,BJD,2011-05-27,19.525,NA
C.2011.54,BJD,2011-05-31,28.159,1.3
C.2011.17,BJD,2011-05-26,68.628,17.2
C.2011.29,BJD,2011-05-27,68.068,12.2
C.2011.53,BJD,2011-05-31,20.977,3
C.2011.23,BJD,2011-05-26,14.068,14.9
C.2011.16,BJD,2011-05-24,15.927,11.1
C.2011.30,BJD,2011-05-27,29.965,5.1
C.2011.16,BJD,2011-05-24,74.744,1.3
C.2011.29,BJD,2011-05-26,36.718,24
C.2011.17,BJD,2011-05-26,26.361,5.4
C.2011.16,BJD,2011-05-24,74.279,5.5
C.2011.29,BJD,2011-05-26,112.574,14
C.2011.16,BJD,2011-05-24,17.107,18.1
C.2011.16,BJD,2011-05-24,2.369,10.5
C.2011.17,BJD,2011-05-23,27.022,29.1
C.2011.17,BJD,2011-05-23,51.237,75.6
C.2011.16,BJD,2011-05-24,174.887,NA
C.2011.16,BJD,2011-05-24,21.468,0.1
C.2011.16,BJD,2011-05-22,17.512,26.5
C.2011.20,BJD,2011-05-26,6.296,125.6
C.2011.29,BJD,2011-05-26,36.872,6
C.2011.7,BJD,2011-05-22,8.974,29.7
C.2011.53,BJD,2011-05-31,10.614,NA
C.2011.16,BJD,2011-05-24,5.589,1
C.2011.16,BJD,2011-05-24,88.201,11.1
C.2011.17,BJD,2011-05-26,26.801,10.7
C.2011.17,BJD,2011-05-26,70.95,11
C.2011.30,BJD,2011-05-23,53.816,24.3
C.2011.29,BJD,2011-05-26,15.779,45.7
C.2011.17,BJD,2011-05-23,19.332,30.4
C.2011.16,BJD,2011-05-22,10.174,22
C.2011.16,BJD,2011-05-24,17.239,NA
C.2011.16,BJD,2011-05-24,16.866,0.7
C.2011.16,BJD,2011-05-24,19.129,7.8
C.2011.17,BJD,2011-05-23,16.804,34.7
C.2011.8,BJD,2011-05-22,13.808,28.5
C.2011.16,BJD,2011-05-24,21.275,7
C.2011.25,BJD,2011-05-27,64.478,24.1
C.2011.22,BJD,2011-05-26,37.418,NA
C.2011.17,BJD,2011-05-26,13.255,NA
